0,1,2,3,4
33.1266543,-117.3274383,-19.288,1.124,1.15
33.1266544,-117.327438,-19.287,1.07,1.13
33.1266543,-117.327438,-19.249,0.994,1.07
33.1266541,-117.3274379,-19.202,0.922,1.0
33.1266545,-117.3274379,-19.13,0.893,0.92
33.1266551,-117.3274377,-19.059,0.922,0.9
33.1266554,-117.3274375,-19.062,0.931,0.93
33.1266552,-117.3274372,-19.098,0.875,0.93
33.1266551,-117.3274371,-19.126,0.809,0.88
33.126655,-117.327437,-19.133,0.74,0.81
33.1266549,-117.3274369,-19.126,0.673,0.74
33.1266548,-117.3274368,-19.14,0.609,0.68
33.1266546,-117.3274367,-19.154,0.552,0.61
33.1266546,-117.3274366,-19.121,0.509,0.56
33.1266547,-117.3274366,-19.09,0.476,0.51
33.1266547,-117.3274365,-19.092,0.449,0.48
33.1266546,-117.3274365,-19.088,0.406,0.46
33.1266545,-117.3274364,-19.067,0.358,0.41
33.1266544,-117.3274364,-19.037,0.315,0.37
33.1266542,-117.3274366,-19.027,0.252,0.33
33.1266538,-117.3274366,-19.043,0.2,0.26
33.1266536,-117.3274369,-19.039,0.181,0.22
33.1266533,-117.3274372,-19.042,0.21,0.2
33.1266531,-117.3274374,-19.04,0.234,0.22
33.1266528,-117.3274376,-19.029,0.262,0.25
33.1266525,-117.3274379,-18.987,0.282,0.27
33.1266522,-117.3274381,-18.964,0.297,0.29
33.1266519,-117.3274384,-18.957,0.341,0.31
33.1266517,-117.3274386,-18.953,0.356,0.35
33.1266514,-117.3274387,-18.947,0.357,0.36
33.1266506,-117.327439,-18.978,0.469,0.37
33.12665,-117.3274392,-18.98,0.511,0.47
33.1266496,-117.3274393,-18.955,0.469,0.52
33.1266492,-117.3274393,-18.937,0.434,0.47
33.1266486,-117.3274394,-18.927,0.442,0.44
33.1266481,-117.3274393,-18.925,0.435,0.45
33.1266478,-117.3274392,-18.938,0.415,0.44
33.1266473,-117.327439,-18.95,0.414,0.42
33.1266467,-117.3274389,-18.961,0.441,0.42
33.1266462,-117.3274388,-18.939,0.486,0.45
33.1266458,-117.3274386,-18.904,0.554,0.49
33.1266453,-117.3274385,-18.935,0.567,0.56
33.1266445,-117.3274382,-18.954,0.623,0.57
33.126644,-117.327438,-18.978,0.648,0.63
33.1266434,-117.3274376,-18.973,0.689,0.65
33.1266427,-117.3274374,-18.926,0.72,0.69
33.1266421,-117.3274371,-18.921,0.716,0.72
33.1266416,-117.3274367,-18.955,0.754,0.72
33.1266409,-117.3274363,-18.971,0.803,0.76
33.1266401,-117.3274359,-18.955,0.882,0.81
33.1266394,-117.3274356,-18.947,0.931,0.89
33.1266388,-117.3274353,-18.973,0.95,0.94
33.1266353,-117.3274339,-19.216,1.254,0.95
33.1266329,-117.327433,-19.362,1.43,1.25
33.1266315,-117.3274324,-19.424,1.471,1.43
33.1266306,-117.3274318,-19.449,1.471,1.47
33.1266298,-117.3274316,-19.483,1.402,1.47
33.1266287,-117.3274311,-19.497,1.432,1.4
33.1266277,-117.3274305,-19.513,1.47,1.43
33.1266265,-117.32743,-19.551,1.526,1.47
33.1266255,-117.3274296,-19.584,1.537,1.53
33.1266245,-117.327429,-19.625,1.539,1.54
33.1266234,-117.3274285,-19.68,1.565,1.54
33.1266224,-117.327428,-19.692,1.576,1.57
33.1266214,-117.3274275,-19.68,1.584,1.58
33.1266204,-117.3274269,-19.694,1.609,1.58
33.1266195,-117.3274264,-19.691,1.591,1.61
33.1266187,-117.3274259,-19.725,1.547,1.59
33.1266177,-117.3274256,-19.743,1.546,1.55
33.1266165,-117.327425,-19.792,1.569,1.55
